epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.64,1.39718,3.29786,1.54887,0.2992,0.41341,0.31496,0.18329,1.41099,2.86455,1.55361,0.000475154,0.000475154,0.000475154
2,368.976,1.50827,2.49641,1.6462,0.24789,0.20621,0.15249,0.07511,2.03612,3.27168,2.12354,0.000904389,0.000904389,0.000904389
3,538.678,1.54342,2.29047,1.68839,0.44179,0.48676,0.44719,0.26254,1.4339,2.39515,1.65652,0.00128647,0.00128647,0.00128647
4,704.764,1.48017,2.11394,1.62935,0.51797,0.5391,0.54064,0.31554,1.39203,1.85421,1.58866,0.00121679,0.00121679,0.00121679
5,870.312,1.39575,1.9011,1.57593,0.63761,0.61,0.62852,0.37425,1.31476,1.66458,1.56734,0.00114606,0.00114606,0.00114606
6,1033.85,1.33912,1.76373,1.53377,0.71916,0.60881,0.70975,0.45376,1.18982,1.32948,1.42034,0.00107532,0.00107532,0.00107532
7,1192.83,1.27855,1.65453,1.49377,0.7138,0.73966,0.7951,0.54955,1.11269,1.19364,1.36366,0.00100459,0.00100459,0.00100459
8,1354.59,1.25995,1.50761,1.47258,0.73005,0.79004,0.79701,0.53503,1.12889,1.14395,1.32815,0.000933851,0.000933851,0.000933851
9,1516.02,1.192,1.4511,1.43141,0.77605,0.71835,0.81758,0.56943,1.05054,1.14145,1.32037,0.000863116,0.000863116,0.000863116
10,1674.39,1.1671,1.36914,1.41025,0.82458,0.74,0.84116,0.60254,1.00773,1.00877,1.27818,0.00079238,0.00079238,0.00079238
11,1830.33,1.05006,1.00297,1.356,0.8524,0.77343,0.86718,0.61872,1.05228,0.9468,1.30067,0.000721645,0.000721645,0.000721645
12,1981.9,1.00078,0.90929,1.31011,0.81861,0.83946,0.8714,0.6307,1.03705,0.89318,1.26117,0.000650909,0.000650909,0.000650909
13,2134.9,0.97899,0.8588,1.29289,0.85507,0.8508,0.88532,0.65221,0.96508,0.84892,1.23033,0.000580174,0.000580174,0.000580174
14,2286.91,0.92924,0.7703,1.26239,0.88879,0.82543,0.89357,0.64332,1.01834,0.81627,1.25752,0.000509438,0.000509438,0.000509438
15,2437.57,0.89897,0.73245,1.23556,0.90391,0.83114,0.91447,0.68472,0.9486,0.71969,1.20421,0.000438703,0.000438703,0.000438703
16,2589.7,0.87036,0.67292,1.21209,0.84749,0.89501,0.91722,0.69487,0.9034,0.70624,1.16742,0.000367967,0.000367967,0.000367967
17,2740.82,0.8418,0.63401,1.18354,0.89314,0.89484,0.91484,0.69695,0.91636,0.68319,1.18251,0.000297232,0.000297232,0.000297232
18,2893.62,0.80904,0.57912,1.16822,0.90994,0.88733,0.92492,0.71716,0.89395,0.67139,1.14617,0.000226497,0.000226497,0.000226497
19,3045.77,0.76792,0.54097,1.13471,0.91189,0.88637,0.92418,0.71765,0.88218,0.65048,1.13589,0.000155761,0.000155761,0.000155761
20,3197.93,0.75621,0.51668,1.12989,0.89993,0.91007,0.92485,0.72527,0.8684,0.62318,1.12324,8.50255e-05,8.50255e-05,8.50255e-05
