epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4176,1.518,2.39842,1.50375,0.78121,0.21532,0.24136,0.13675,1.67489,2.56713,1.78626,0.000548355,0.000548355,0.000548355
2,95.4933,1.4589,1.62281,1.40876,0.9557,0.44594,0.48896,0.30706,1.4955,1.62787,1.59189,0.00104937,0.00104937,0.00104937
3,130.055,1.44316,1.41888,1.37581,0.58982,0.4027,0.44226,0.23596,1.75817,2.23817,1.84072,0.00149538,0.00149538,0.00149538
4,164.682,1.43738,1.28446,1.36925,0.53646,0.5015,0.48641,0.24174,1.70173,1.35506,1.64568,0.00141945,0.00141945,0.00141945
5,200.133,1.33846,1.14082,1.32565,0.61274,0.5718,0.551,0.33465,1.37618,1.1987,1.3486,0.00133693,0.00133693,0.00133693
6,234.914,1.33076,1.07453,1.29581,0.58616,0.53934,0.52926,0.31275,1.41436,1.08396,1.39677,0.00125442,0.00125442,0.00125442
7,268.943,1.26894,1.01953,1.27481,0.62904,0.62876,0.57749,0.35084,1.31564,1.14258,1.28747,0.0011719,0.0011719,0.0011719
8,304.325,1.2383,0.92677,1.25058,0.65948,0.62695,0.59108,0.37906,1.18505,0.83395,1.21832,0.00108938,0.00108938,0.00108938
9,339.031,1.22623,0.93764,1.24573,0.65323,0.64851,0.61923,0.385,1.25314,0.85679,1.26794,0.00100687,0.00100687,0.00100687
10,373.636,1.20254,0.87417,1.22039,0.64521,0.6822,0.61431,0.38805,1.21276,0.808,1.22427,0.000924352,0.000924352,0.000924352
11,411.136,1.21725,0.89524,1.24696,0.66109,0.65525,0.62748,0.40056,1.12361,0.78627,1.17291,0.000841835,0.000841835,0.000841835
12,444.396,1.16827,0.84403,1.22914,0.66508,0.63503,0.61962,0.39921,1.14506,0.77793,1.1877,0.000759318,0.000759318,0.000759318
13,476.408,1.11897,0.79239,1.18417,0.65083,0.66904,0.64527,0.42961,1.07098,0.74216,1.14005,0.000676802,0.000676802,0.000676802
14,508.701,1.09589,0.76354,1.17513,0.71697,0.68836,0.68708,0.45532,1.05579,0.7259,1.12408,0.000594286,0.000594286,0.000594286
15,540.994,1.08974,0.74418,1.16757,0.69017,0.68085,0.6676,0.43167,1.06918,0.74083,1.13635,0.000511769,0.000511769,0.000511769
16,572.629,1.03676,0.72536,1.13961,0.71536,0.70107,0.70019,0.4569,1.02641,0.67812,1.11595,0.000429253,0.000429253,0.000429253
17,606.538,1.01636,0.70081,1.11686,0.72307,0.70958,0.71501,0.46947,1.00276,0.65114,1.0976,0.000346736,0.000346736,0.000346736
18,640.026,1.00892,0.68545,1.11341,0.71646,0.70887,0.70496,0.46244,1.02582,0.63873,1.09297,0.00026422,0.00026422,0.00026422
19,672.269,0.9892,0.65867,1.10046,0.71796,0.72129,0.71626,0.47944,0.98831,0.61901,1.08119,0.000181703,0.000181703,0.000181703
20,705.212,0.96986,0.64331,1.09582,0.74528,0.72804,0.73338,0.48609,0.96204,0.61167,1.06931,9.91865e-05,9.91865e-05,9.91865e-05
